Part,Location,Model,Date,Value
PD457,A,SARIMA,2025-01-01,555.1505183842665
PD457,A,SARIMA,2025-02-01,594.5643903908966
PD457,A,SARIMA,2025-03-01,583.3169655744659
PD457,A,SARIMA,2025-04-01,496.3951955808253
PD457,A,SARIMA,2025-05-01,524.9705038373411
PD457,A,SARIMA,2025-06-01,888.8014946353719
PD457,A,SARIMA,2025-07-01,887.4774668191219
PD457,A,SARIMA,2025-08-01,834.2398828650171
PD457,A,SARIMA,2025-09-01,824.3012251464884
PD457,A,SARIMA,2025-10-01,921.308473469311
PD457,A,SARIMA,2025-11-01,633.2471311842687
PD457,A,SARIMA,2025-12-01,654.6537083671624
PD457,A,Prophet,2025-01-01,551.3592301522675
PD457,A,Prophet,2025-02-01,527.0015557933083
PD457,A,Prophet,2025-03-01,531.1427613495805
PD457,A,Prophet,2025-04-01,498.7227746309839
PD457,A,Prophet,2025-05-01,484.8887116396225
PD457,A,Prophet,2025-06-01,764.6668320213344
PD457,A,Prophet,2025-07-01,789.9520184855027
PD457,A,Prophet,2025-08-01,810.0696245910827
PD457,A,Prophet,2025-09-01,735.7780368701908
PD457,A,Prophet,2025-10-01,766.632729428394
PD457,A,Prophet,2025-11-01,619.6172714771294
PD457,A,Prophet,2025-12-01,565.420802914719
PD457,A,XGBoost,2025-01-01,639.6552124023438
PD457,A,XGBoost,2025-02-01,549.36376953125
PD457,A,XGBoost,2025-03-01,551.0281982421875
PD457,A,XGBoost,2025-04-01,544.1859130859375
PD457,A,XGBoost,2025-05-01,550.08642578125
PD457,A,XGBoost,2025-06-01,641.712646484375
PD457,A,XGBoost,2025-07-01,612.6099243164062
PD457,A,XGBoost,2025-08-01,612.8392333984375
PD457,A,XGBoost,2025-09-01,614.329345703125
PD457,A,XGBoost,2025-10-01,680.8068237304688
PD457,A,XGBoost,2025-11-01,652.1448364257812
PD457,A,XGBoost,2025-12-01,666.7025146484375
PD457,A,N-HiTS,2025-01-01,415.19387931576085
PD457,A,N-HiTS,2025-02-01,462.5839239885154
PD457,A,N-HiTS,2025-03-01,363.87530330130255
PD457,A,N-HiTS,2025-04-01,277.4129219597821
PD457,A,N-HiTS,2025-05-01,368.2473307867069
PD457,A,N-HiTS,2025-06-01,631.5816394500852
PD457,A,N-HiTS,2025-07-01,811.0189240076364
PD457,A,N-HiTS,2025-08-01,876.9116908809659
PD457,A,N-HiTS,2025-09-01,858.9817109282399
PD457,A,N-HiTS,2025-10-01,879.840489983808
PD457,A,N-HiTS,2025-11-01,680.1472776423874
PD457,A,N-HiTS,2025-12-01,631.9932571252707
PD457,A,ETS,2025-01-01,575.4133903220007
PD457,A,ETS,2025-02-01,573.3819823570684
PD457,A,ETS,2025-03-01,597.4041717424119
PD457,A,ETS,2025-04-01,560.1567284373285
PD457,A,ETS,2025-05-01,562.8031422127516
PD457,A,ETS,2025-06-01,856.9572215093604
PD457,A,ETS,2025-07-01,871.6828222581834
PD457,A,ETS,2025-08-01,895.8322747524162
PD457,A,ETS,2025-09-01,848.4868185974541
PD457,A,ETS,2025-10-01,886.6718163668762
PD457,A,ETS,2025-11-01,729.5226137139824
PD457,A,ETS,2025-12-01,687.1809189988185
PD457,A,Weighted Ensemble,2025-01-01,577.4866614216414
PD457,A,Weighted Ensemble,2025-02-01,561.7398238629987
PD457,A,Weighted Ensemble,2025-03-01,558.6956141382034
PD457,A,Weighted Ensemble,2025-04-01,510.36868047079554
PD457,A,Weighted Ensemble,2025-05-01,519.9226145532866
PD457,A,Weighted Ensemble,2025-06-01,782.925316566053
PD457,A,Weighted Ensemble,2025-07-01,781.867747351919
PD457,A,Weighted Ensemble,2025-08-01,765.4886283662956
PD457,A,Weighted Ensemble,2025-09-01,739.4187550731032
PD457,A,Weighted Ensemble,2025-10-01,808.0997516994798
PD457,A,Weighted Ensemble,2025-11-01,634.4075443163188
PD457,A,Weighted Ensemble,2025-12-01,631.2307290605379
PD457,B,SARIMA,2025-01-01,622.9699157184409
